Date,County,Volume Sold (Liters)
2014-07-01,marshall,13150.710000000006
2014-07-01,mills,3110.35
2014-07-01,mitchell,3271.7199999999993
2014-07-01,monona,3999.74
2014-07-01,monroe,2034.0799999999997
2014-07-01,montgomery,3616.739999999999
2014-07-01,muscatine,13563.63
2014-07-01,o'brien,7373.309999999997
2014-07-01,osceola,1534.2499999999995
2014-07-01,page,6136.560000000002
2014-07-01,palo alto,5890.820000000001
2014-07-01,plymouth,9104.75
2014-07-01,pocahontas,2724.18
2014-07-01,polk,325343.77999999776
2014-07-01,pottawattamie,52915.96999999991
2014-07-01,poweshiek,8461.45
2014-07-01,ringgold,1021.75
2014-07-01,sac,5069.64
2014-07-01,scott,113211.57000000078
2014-07-01,shelby,3713.449999999999
2014-07-01,sioux,6852.22
2014-07-01,story,41111.84999999997
2014-07-01,tama,4685.889999999999
2014-07-01,taylor,881.15
2014-07-01,union,5111.55
2014-07-01,van buren,1126.52
2014-07-01,wapello,16233.520000000026
2014-07-01,warren,13882.129999999997
2014-07-01,washington,7410.659999999999
2014-07-01,wayne,554.25
2014-07-01,webster,14245.08
2014-07-01,winnebago,6273.639999999999
2014-07-01,winneshiek,9271.290000000003
2014-07-01,woodbury,58914.99999999987
2014-07-01,worth,1483.9299999999998
2014-07-01,wright,3774.0300000000007
2014-08-01,adair,3082.039999999999
2014-08-01,adams,486.04
2014-08-01,allamakee,5471.59
2014-08-01,appanoose,4687.470000000001
2014-08-01,audubon,1347.25
2014-08-01,benton,4707.06
2014-08-01,black hawk,89699.92000000048
2014-08-01,boone,10414.210000000003
2014-08-01,bremer,10818.08
2014-08-01,buchanan,7666.2400000000025
2014-08-01,buena vista,9024.170000000006
2014-08-01,butler,2271.87
2014-08-01,calhoun,2262.4799999999996
2014-08-01,carroll,12360.330000000005
2014-08-01,cass,7809.730000000002
2014-08-01,cedar,3054.210000000002
2014-08-01,cerro gordo,36213.86999999996
2014-08-01,cherokee,4471.339999999999
2014-08-01,chickasaw,2617.0899999999997
2014-08-01,clarke,2984.3
2014-08-01,clay,10330.689999999999
2014-08-01,clayton,5584.120000000001
2014-08-01,clinton,19522.680000000008
2014-08-01,crawford,5485.69
2014-08-01,dallas,26241.799999999996
2014-08-01,davis,595.25
2014-08-01,decatur,802.21
2014-08-01,delaware,5194.7699999999995
2014-08-01,des moines,21496.22000000001
2014-08-01,dickinson,28560.69
2014-08-01,dubuque,41585.969999999965
2014-08-01,emmet,4268.87
2014-08-01,fayette,6681.629999999999
2014-08-01,floyd,5722.049999999998
2014-08-01,franklin,3111.6899999999996
2014-08-01,fremont,93.0
2014-08-01,greene,2394.8900000000003
2014-08-01,grundy,2325.65
2014-08-01,guthrie,1894.4899999999996
2014-08-01,hamilton,3968.9499999999975
2014-08-01,hancock,2077.35
2014-08-01,hardin,10515.540000000005
2014-08-01,harrison,3175.819999999999
2014-08-01,henry,7110.580000000001
2014-08-01,howard,4977.2
2014-08-01,humboldt,3073.349999999999
2014-08-01,ida,2464.14
2014-08-01,iowa,10035.090000000002
2014-08-01,jackson,9283.860000000002
2014-08-01,jasper,11957.549999999994
2014-08-01,jefferson,4585.6399999999985
2014-08-01,johnson,90658.57999999996
2014-08-01,jones,7771.330000000002
2014-08-01,keokuk,1239.92
2014-08-01,kossuth,9486.169999999998
2014-08-01,lee,22849.249999999975
2014-08-01,linn,135801.84000000055
2014-08-01,louisa,1527.8999999999994
2014-08-01,lucas,2188.5699999999997
2014-08-01,lyon,3957.8199999999983
2014-08-01,madison,4043.999999999999
2014-08-01,mahaska,5310.46
2014-08-01,marion,11563.47000000001
2014-08-01,marshall,13128.340000000006
2014-08-01,mills,2680.649999999999
2014-08-01,mitchell,2886.9100000000003
2014-08-01,monona,3233.909999999999
2014-08-01,monroe,1893.1599999999996
2014-08-01,montgomery,3228.289999999999
2014-08-01,muscatine,18937.300000000003
2014-08-01,o'brien,7265.859999999997
2014-08-01,osceola,1695.7799999999997
2014-08-01,page,6514.710000000004
2014-08-01,palo alto,3845.3599999999988
2014-08-01,plymouth,7245.51
2014-08-01,pocahontas,2569.599999999999
2014-08-01,polk,313564.79999999976
