Date,County,Sales (Dollars)
2016-09-01,harrison,26611.710000000054
2016-09-01,henry,66809.21
2016-09-01,howard,29680.420000000042
2016-09-01,humboldt,38507.68999999997
2016-09-01,ida,32214.710000000043
2016-09-01,iowa,79560.74999999996
2016-09-01,jackson,62021.89999999996
2016-09-01,jasper,101537.62000000016
2016-09-01,jefferson,70760.86999999994
2016-09-01,johnson,847359.7400000029
2016-09-01,jones,45657.35999999996
2016-09-01,keokuk,8267.369999999999
2016-09-01,kossuth,106589.48000000026
2016-09-01,lee,164350.3199999999
2016-09-01,linn,1060887.8199999945
2016-09-01,louisa,12923.549999999985
2016-09-01,lucas,27766.479999999996
2016-09-01,lyon,44981.38999999999
2016-09-01,madison,50036.559999999976
2016-09-01,mahaska,54792.21999999995
2016-09-01,marion,106433.98000000011
2016-09-01,marshall,188443.97999999992
2016-09-01,mills,41263.97000000002
2016-09-01,mitchell,25085.70000000007
2016-09-01,monona,24793.870000000057
2016-09-01,monroe,17088.11999999999
2016-09-01,montgomery,42796.74999999998
2016-09-01,muscatine,154004.37000000032
2016-09-01,obrien,75056.07999999997
2016-09-01,osceola,15899.209999999994
2016-09-01,page,86994.78000000014
2016-09-01,palo alto,34112.630000000114
2016-09-01,plymouth,92825.03
2016-09-01,pocahontas,16723.539999999986
2016-09-01,polk,3149901.54000001
2016-09-01,pottawatta,509934.0300000051
2016-09-01,poweshiek,88042.18999999996
2016-09-01,ringgold,12191.039999999997
2016-09-01,sac,27685.200000000048
2016-09-01,scott,937722.0400000059
2016-09-01,shelby,31872.800000000032
2016-09-01,sioux,89194.66000000019
2016-09-01,story,467636.0200000033
2016-09-01,tama,35075.520000000004
2016-09-01,taylor,6482.929999999998
2016-09-01,union,60484.41999999988
2016-09-01,van buren,13841.599999999993
2016-09-01,wapello,139693.05000000045
2016-09-01,warren,139557.39000000033
2016-09-01,washington,79672.05999999998
2016-09-01,wayne,4420.8499999999985
2016-09-01,webster,165168.1200000002
2016-09-01,winnebago,50602.97999999999
2016-09-01,winneshiek,101982.88999999993
2016-09-01,woodbury,500362.05000000534
2016-09-01,worth,15035.029999999986
2016-09-01,wright,50741.87999999993
2016-10-01,adair,27173.77000000003
2016-10-01,adams,4998.400000000001
2016-10-01,allamakee,45593.41
2016-10-01,appanoose,45334.12000000002
2016-10-01,audubon,9158.400000000001
2016-10-01,benton,42286.19000000001
2016-10-01,black hawk,902066.9500000043
2016-10-01,boone,110272.60000000002
2016-10-01,bremer,121839.7900000002
2016-10-01,buchanan,79253.9499999999
2016-10-01,buena vist,99184.20000000042
2016-10-01,butler,18310.37000000001
2016-10-01,calhoun,19418.220000000005
2016-10-01,carroll,104878.36999999998
2016-10-01,cass,82166.23000000007
2016-10-01,cedar,34481.57000000008
2016-10-01,cerro gord,281694.94999999995
2016-10-01,cherokee,45963.999999999985
2016-10-01,chickasaw,22351.260000000002
2016-10-01,clarke,34744.28000000004
2016-10-01,clay,66914.13000000005
2016-10-01,clayton,49466.38999999992
2016-10-01,clinton,199261.0299999997
2016-10-01,crawford,54229.88999999994
2016-10-01,dallas,161796.06000000038
2016-10-01,davis,5786.890000000001
2016-10-01,decatur,14101.419999999993
2016-10-01,delaware,62989.17999999998
2016-10-01,des moines,297624.08000000083
2016-10-01,dickinson,149124.82000000024
2016-10-01,dubuque,423472.0000000019
2016-10-01,emmet,36231.50000000006
2016-10-01,fayette,73413.59999999995
2016-10-01,floyd,84560.49000000009
2016-10-01,franklin,25759.920000000016
2016-10-01,fremont,3364.93
2016-10-01,greene,27622.54000000003
2016-10-01,grundy,17703.609999999993
2016-10-01,guthrie,24698.330000000053
2016-10-01,hamilton,38361.35000000007
2016-10-01,hancock,26577.96
2016-10-01,hardin,122818.68000000008
2016-10-01,harrison,29019.520000000062
2016-10-01,henry,80339.20000000004
2016-10-01,howard,39050.95000000001
2016-10-01,humboldt,31309.360000000026
2016-10-01,ida,38349.080000000016
2016-10-01,iowa,73877.04999999992
2016-10-01,jackson,84607.24999999993
2016-10-01,jasper,82090.18000000005
2016-10-01,jefferson,67762.21999999997
2016-10-01,johnson,871424.9900000064
2016-10-01,jones,83222.17000000014
2016-10-01,keokuk,7339.060000000006
2016-10-01,kossuth,98184.88000000003
2016-10-01,lee,224444.49000000017
2016-10-01,linn,1303046.7299999786
2016-10-01,louisa,13289.77999999998
2016-10-01,lucas,28708.85000000002
2016-10-01,lyon,55005.130000000005
2016-10-01,madison,42264.299999999974
2016-10-01,mahaska,61562.069999999956
2016-10-01,marion,108291.5300000002
2016-10-01,marshall,186053.45999999985
2016-10-01,mills,33518.28000000002
2016-10-01,mitchell,31485.12000000008
2016-10-01,monona,26042.11000000004
2016-10-01,monroe,18222.039999999994
2016-10-01,montgomery,43678.59999999997
2016-10-01,muscatine,219373.0499999993
2016-10-01,obrien,81384.00000000015
2016-10-01,osceola,18603.749999999996
2016-10-01,page,72938.33999999991
2016-10-01,palo alto,25383.76000000006
2016-10-01,plymouth,106836.6900000001
2016-10-01,pocahontas,17093.469999999994
2016-10-01,polk,3077931.5100000445
2016-10-01,pottawatta,572018.9600000038
2016-10-01,poweshiek,82823.39000000006
2016-10-01,ringgold,7666.830000000002
2016-10-01,sac,27339.230000000065
2016-10-01,scott,1051696.7599999967
2016-10-01,shelby,59939.72999999994
2016-10-01,sioux,112699.62000000024
2016-10-01,story,478611.460000003
2016-10-01,tama,41495.62000000003
2016-10-01,taylor,6385.679999999998
2016-10-01,union,53465.70999999992
2016-10-01,van buren,16007.639999999989
2016-10-01,wapello,155144.03000000003
2016-10-01,warren,144353.28000000014
2016-10-01,washington,100355.20000000033
2016-10-01,wayne,5667.110000000001
2016-10-01,webster,192244.96000000046
2016-10-01,winnebago,49404.38000000002
2016-10-01,winneshiek,97801.5800000001
2016-10-01,woodbury,526802.4600000035
2016-10-01,worth,14373.199999999986
2016-10-01,wright,38638.20000000004
2016-11-01,adair,27509.560000000038
2016-11-01,adams,4458.240000000002
2016-11-01,allamakee,55633.74999999999
2016-11-01,appanoose,57149.27999999982
2016-11-01,audubon,6560.660000000003
2016-11-01,benton,54226.83999999991
2016-11-01,black hawk,903128.8400000015
2016-11-01,boone,140561.66999999984
2016-11-01,bremer,92992.45999999998
2016-11-01,buchanan,72348.20999999992
2016-11-01,buena vist,122007.8900000006
2016-11-01,butler,19498.170000000006
2016-11-01,calhoun,25048.54000000004
2016-11-01,carroll,90582.76000000017
